,Text,value
200,chau bac ho ha,1
201,dùng bố mày kể chuyển_mình chẳng hiểu nội_dung ntn,0
202,bố mày thằng nhỏ tao,0
203,biết ai bố mày,0
204,chó việt cộng mât dạy,0
205,hahaha,0
206,bố mày quân ăn_cướp,0
207,duy tuấn tuấn vũ,0
208,công san diên riêt bê diên tâp tuông tơi mây thăng amature diên dân ranh măt tui may rôi công san ơi đmcs,1
209,quen quen hay nghe riết thuộc_lòng chúng_mày bố mày,0
210,đ mẹ mầy,0
211,tiên_sư nhà mày chử mày luôn dính liền chửi nộn,0
212,thiếu_tá xuống trung u nhặt tiền trả người mất kiểu chắc thiếu_tướng,1
213,nó bộ phim đạo diên giành giải đạo_diễn_xuất xắc nhất,0
214,hinh tuong nguoi chien sy cong an nhan dan that tuyet,1
215,thằng gọi vàng trong đít,0
216,hay quá,0
217,bố oai,0
218,bố mày ai kệ mẹ bố mày,0
219,nhọ hèn_hạ,0
220,chó con,0
221,con lai cua thang nao vay,0
222,ăn_cướp la_làng,0
223,hài vãi,1
224,bọn nhau thôi,0
225,nhục đám chuột,0
226,haha,0
227,đặc_điểm nhận_diện bầy chó thấy người gâu gâu thôi,0
228,ah,0
229,người chiến su ấy ai đặt tên nay tìm đc cha nay tìm đc cha chúc_mừng a,1
230,duoi khoi ngsnh_di,0
231,đảng_viên mày,1
232,bố mày kệ mẹ mày,0
233,nhọ,0
234,coi chuèng,0
235,chắc bố quá quên,1
236,bố con chó xồm,0
237,tui bac cong lao cá lam,1
238,bố mày con lon,0
239,mi dan,1
240,ngang tầm thế_giới luôn chớ bì_thơ,0
241,hanoi se doi dau voi thung lung silicon ben tre dza,1
242,ông việt tân biết quê bác người_ta đạo bà la môn hơi đông à giống bò đỏ lai_tạo,1
243,ổng cưa boom chuyên_nghiệp vãi,0
244,bệnh bọn nhà sản vẽ_vời nổ mồmcòn thực_hiện đc hay khác ngao_ngán,1
245,thời_đại cntt xạo_dân chốn người gây phản_cảm,1
246,xây trương hoc thành trung_tâm khoa hoc thât ấy tiêc xây trương xây tượng_đài hn thành trung_tâm đánh thuê,1
247,ông bộ chính_trị mở_miệng hàng_đầu thực_tế đầu_hàng,1
248,người_ta chí đất_nước vươn mục_tiêu còn tân biết cào phím thôi,0
249,lãnh_đạo việt cộng bây_giờ ngáo quá,1
250,quá tốt lẽ bằng chế_độ ưu_việt phấn_đấu ta lâu,1
251,nói hàng_đầu thế_giới nó ngầu châu á khiêm_tốn quá việt nam số thế_giới vụ khiêm_tốn,1
252,kiến hay,0
253,thế sinh_viên bắc xuống nam trường sài_gòn tìm,1
254,tiên a huệ dân xin cn xử l rác_thải nhé,1
255,thành_công biến tr dân thành c máy con cừu ngoan_ngoãn,1
256,hiện công_an đe_dọa dùng giang_hồ xử tôi bài viết án bất_công mong cộng_đồng mạng tiếng tố_cáo âm_mưu thâm_độc,1
257,ngành_nghề đầu trung_tâm thung_lũng rác_thải hiện_nay đổ bên singapore à,1
258,hà nội_trợ thành trung_tâm tham_nhũng đông nam á,1
259,doanh_nghiệp lước ngoài nào mới đến biết văn_hóa thôi,1
260,người dân_chúng_tôi xin ông lãnh_đạo bớt đi mây về gió đi hãy thực_tế xem tình_trạng đất_nước hiện_nay thay_đổi đừng tự sướng người dân_chúng_tôi nhờ,1
261,nói_láo dóc,1
262,kg nói ai_bảo câm,0
263,thế tân cải_thiện phục quốc,-1
264,chả lẽ mi ngày bài la phục quốc à,0
265,việt tân tích_cực đọc báo đảng,-1
266,chắc mới nhận đồ ngon hoàng thượng_sảng,0
267,biết nó hiểu nó nói nhở,0
268,việt_nam dịch dịch ai chết sao giờ đóng_cửa doanh_nghiệp cầm_quyền bịp sao cầm_quyền bịp tiếp_tục tồn,1
269,mày giả ngu chống cộng hay kiến_thức chắc bài việt nam giấu dịch quá t ví_dụ hiểu màyột anh nghiệp chuyên_gia_công xuất_khẩu sang trung tuốc màyẽonó đag dịch nó ngừng đặt_hàng hàng anh ngiệp cắt giảmày hoặc giải_thể đơn_giản sao vận_động não bl hay hơn chống cộng ngàn nămày nha,1
270,đóng_cửa mày thời_gian giãy dụa còn mở chắc mày vô trại ngày cách_ly kinh_tế thể làm con_người chết làm ô_nhiễm môi_trường mày chọn nào ngồi bày_đặt cao giọng,1
271,ngoài cao giọng chửi chúng_nó còn biết làm đâu chửi bớt nhục về thế_hệ cha_ông chúng_nó,0
272,loại đầu đất nghĩ trả_lời nhé con,0
273,dich khống_chế đươc còn viêc kinh_doanh đầu vô đầu làm_sao tồn tai đươc công_nhân nghỉ phá_sản thôi la đâu ban,1
274,doanh_nghiệp đống cửa chợ chụp kiot đống cửa vl thiệt,1
275,óc mày thua loài chó đấy,0
276,nói zậy tội con chó quá,0
277,t đồng nhà_nước tương_đương t usd đâu mất sao lấy hổ trợ doanh_nghiệp bây_giờ đi mượn tiền trung tuốc triệu usd chừng nào mới tới t usd châu âu đồng tung gói kích_cầu t_euro,1
278,tivi lãnh bạn ơi,1
279,người nghèo còn méo doanh_nghiệp,1
280,nói bạn tiền đâu n chức mua đất làm nhà con đi du_học khó quá bỏ đi bạn ơi,1
281,tui lãnh nha bạn ơi,1
282,tui lãnh nha,1
283,hả thằng củ rau_muống,0
284,y trong củ_list,0
285,nhà cận ngèo ó,0
286,vãi đi mượn tiền trung quốc xem tivi hay phản_động ngu,-1
287,nô_lệ độc_tài cộng_sản bú_dù ngu_xuẩn thôi,1
288,việt nam tự sướng tuyên_bố hoàn_toàn lây_nhiễm đúng vịt cộng,1
289,mồm đít vịt,0
290,éo biết_đâu mò não chó,0
291,ngoài sủa nhặng bào_chữa về một thế_hệ cha_ông thích bú cu mĩ chúng_mày còn làm,-1
292,nay_mai chúng_mày năm nhỉ tao chống mắt xem chúng_mày chờ ngày pkụt cuốc,-1
293,tv thủ_tướng nghẹo nói kinh_tế việt_nam,1
294,tốc đồ tăng_trưởng ngân_hàng thế_giới họ đánh_giá thủ_tướng báo thôi ok còn việt nam bây_giờ an_toàn nhăt thế_giới ok bọn lưu_vong_mạng chửi việt nam xong đợt về việt nam tránh dịch đống ít người người_thân bọn việt tân đâu,-1
295,ừ nghe tv nói,0
296,ai biết thấy tv thủ_tướng nghẹo nói sao nghe,1
297,đúng tướng nói bàn thờhay đồng_bóng k tế nào,1
298,hả nghe thấy tv nè,0
299,tuong ngheo la cai tv ban,0
300,hay xuống kệ mẹ việt nam thứ chó rúc hố_ga ngóc sủa,0
301,bò điên xức hiện,1
302,toàn du_học sinhngười đi du_lịch thăm thân_nhân hợp_tác lao_động nhe bộ coi báo hay nhận tiền cào bừa,-1
303,chặn đuọc dịch kt đi xuống thật còn ô phúc nói kt đi nói_láo giờ mới bất_đầu ảnh huỏng cìn tiếp_tục đùng hợm nhé khó_khăn thể nền công_nghiệp ngưng nông_nghiệp trồng cấy nuôi dân thôi tỉnh sớm toi,1
304,tầm bạy nói vô căn,0
305,hello em bò,0
306,đường đỉnh phá_sản youtube coi người_ta quay đường_phố sài_gòn phá_sản trả mặt_bằng quá trời riêng ở đà_nẵng khách_sạn phá_sản nợ bán hàng_loạt còn thấy phá_sản kinh_tế ăn sht nói hả con bò đỏ kia chúng_mày quen_thói độc_tài toàn trị bịt mồm dân à,1
307,kiểu thằng thớt liệt hay sao ấy nằm ở nhà mở tivi,0
308,nó ở việt nam đéo đâu toàn mấy thằng nhìn phiến_diện biết bên mình sinh_hoạt bình_thường đâu chào thân_ái bọn bệnh_dịch,-1
309,ủa bên mình sinh_hoạt bình_thường lol nhé ban_đêm tụi nó còn đi chơi ì đùng kia thất_thường chết mọe,-1
310,trời ơi thảm_thương ông,0
311,bọn nó sống um sùm lắm dm chủ_nhật xúm nhậu nhẹt hát_hò cộng_sản luật cấm hát loa kéo giờ bọn nó nhậu thôi,1
312,tiền giờ trợ dịcgiờ còn ăn cgiờặn dân tgiờì còn nói dân đóng tgiờuế bao ngiờiêu năm trời giờ kgiờó kgiờăn người đk người kogiờ trợ cgiờo tiếng,1
313,ngoài số_ít người xin trợ_cấp thất_nghiệp còn đa_số mất trợ_cấp tiền sống sao,1
314,mấy thanh_niên thất_nghiệp kìa nhận về dạy nghề ông,0
315,thuong que huong va nguoi dan vo toi phai chui nhung canh dau kho i ngheo con nhung nguoi lanh dao dat thi qoa xung_xuong nha cao cua rong neu tinh trang nay keo dai thi nguoi dan se kho chet i a_di_da phat duc phat tu bi pho chung sinh,1
316,unikeyorg,0
317,thoi lo di_lam de nuoi gia dinh di_việt nam se kho lam dung co hon thoi nhau mot vai cau chinh ta hon thua nhau lam gi cuoi nguoi hom truoc hom sao nguoi cuoi,0
318,lạm_dụng cô_hồn,0
319,đến chữ còn ngu đi sủa,0
320,tao dau co ranh nhu may thang du lung vien tui bay lam moi thang duoc hay trieu tao ngu ngu nhung tao noi duoc tieng me de công_an tieng anh song o dat nuoc van minh giau co tao ngu cung dau co bang may thang an cuc bac ky cua tui bay,0
321,nói lồn,0
322,corona đến cửa kìa,0
323,tao trà vinh nhé,0
324,may la tra vinh hay tra da thi ke cai thang bac ky bo lao neu may la tra vinh thi may cung la cai thang chan trau que mua cung bay dac che nguoi khac ngu,1
325,vây doanh_nghiệp quốc_tế tính làm_ăn họ nghiên_cứu thị_trường nhỉ,0
326,hu đầu bạn bằng đầu mấy thằng nhật,0
327,ở việt nam vịt cộng hổ trợ trong mùa cúm_tàu hộ cận nghèo bên,1
328,csvn that thu thue doanh nghiep se con keo daican kiet ngan sach con duong duy nhat cuu nguy la_di_vay muon,1
